Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,prix_euro,Brand,Model
bmw 3 series 320d,kochi,2014,32982,diesel,automatic,first,22.69,1995.0,190.0,5.0,47.87 lakh,20405.0,bmw,3
maruti s cross ddis 200 alpha,bangalore,2015,55392,diesel,manual,second,23.65,1248.0,88.5,5.0,,9075.0,maruti,s
audi a6 2011-2015 35 tfsi technology,mumbai,2015,55985,petrol,automatic,first,13.53,1984.0,177.01,5.0,,25850.0,audi,a6
hyundai i20 1.2 magna,kolkata,2010,45807,petrol,manual,first,18.5,1197.0,80.0,5.0,,2057.0,hyundai,i20
volkswagen vento petrol highline at,kolkata,2010,33000,petrol,automatic,first,14.4,1598.0,103.6,5.0,,3135.0,volkswagen,vento
honda city corporate edition,mumbai,2012,51920,petrol,manual,first,16.8,1497.0,116.3,5.0,,4675.0,honda,city
nissan micra diesel xv,hyderabad,2012,54000,diesel,manual,first,23.08,1461.0,63.1,5.0,,4675.0,nissan,micra
maruti alto k10 2010-2014 vxi,hyderabad,2013,54000,petrol,manual,second,20.92,998.0,67.1,5.0,,3025.0,maruti,alto
honda wrv i-vtec vx,kochi,2018,37430,petrol,manual,first,17.5,1199.0,88.7,5.0,10.57 lakh,10890.0,honda,wrv
toyota innova 2.5 v diesel 7-seater,mumbai,2007,262000,diesel,manual,fourth & above,12.8,2494.0,102.0,7.0,,4400.0,toyota,innova
renault duster 110ps diesel rxz pack,bangalore,2013,62000,diesel,manual,first,19.01,1461.0,108.45,5.0,,8525.0,renault,duster
toyota corolla altis g,delhi,2012,87615,petrol,manual,first,14.53,1798.0,138.1,5.0,,7425.0,toyota,corolla
mahindra ssangyong rexton rx7,bangalore,2013,72000,diesel,automatic,second,11.18,2696.0,184.0,7.0,,13750.0,mahindra,ssangyong
audi a6 2.7 tdi,kolkata,2010,35000,diesel,automatic,first,12.4,2698.0,179.5,5.0,,12650.0,audi,a6
volkswagen vento 1.6 highline,coimbatore,2014,55431,petrol,manual,second,16.09,1598.0,103.5,5.0,12.33 lakh,7678.0,volkswagen,vento
maruti wagon r lxi bsiii,jaipur,2009,83816,petrol,manual,second,14.0,1061.0,64.0,5.0,,2034.9999999999998,maruti,wagon
maruti vitara brezza zdi plus,kochi,2018,50075,diesel,manual,first,24.3,1248.0,88.5,5.0,11.12 lakh,9493.0,maruti,vitara
mahindra kuv 100 mfalcon g80 k6 5str aw,delhi,2017,52000,petrol,manual,first,18.15,1198.0,82.0,5.0,,5334.999999999999,mahindra,kuv
mercedes-benz m-class ml 350 cdi,pune,2013,85000,diesel,automatic,first,11.74,2987.0,254.8,5.0,,30800.0,mercedes-benz,m-class
volkswagen polo diesel trendline 1.2l,chennai,2013,62000,diesel,manual,first,22.07,1199.0,73.9,5.0,,5500.0,volkswagen,polo
maruti alto lxi,delhi,2008,90000,petrol,manual,second,19.7,796.0,46.3,5.0,,1375.0,maruti,alto
tata nano lx se,kochi,2014,19698,petrol,manual,first,25.4,624.0,37.5,4.0,,1683.0,tata,nano
mahindra kuv 100 mfalcon d75 k8 dual tone,coimbatore,2017,22033,diesel,manual,first,25.32,1198.0,77.0,6.0,,6138.0,mahindra,kuv
hyundai i20 magna optional 1.2,kochi,2014,35487,petrol,manual,first,18.5,1197.0,82.9,5.0,,5214.0,hyundai,i20
hyundai elantra 2.0 sx option at,bangalore,2014,46374,petrol,automatic,first,14.62,1999.0,149.92,5.0,23.64 lakh,9735.0,hyundai,elantra
toyota corolla altis g at,mumbai,2016,52001,petrol,automatic,first,14.28,1798.0,138.03,5.0,,11121.0,toyota,corolla
hyundai elantra crdi,ahmedabad,2008,58005,diesel,manual,second,14.9,1991.0,112.2,5.0,,4675.0,hyundai,elantra
toyota innova crysta 2.7 gx mt,bangalore,2012,70704,petrol,manual,first,11.25,2694.0,163.7,7.0,18.64 lakh,12045.0,toyota,innova
hyundai xcent 1.1 crdi s,jaipur,2014,75000,diesel,manual,first,24.4,1120.0,71.0,5.0,,4235.0,hyundai,xcent
mahindra thar crde ac,jaipur,2012,75800,diesel,manual,second,16.55,2498.0,105.0,6.0,,6050.0,mahindra,thar
audi a4 2.0 tdi 177 bhp premium plus,kochi,2015,13648,diesel,automatic,first,17.11,1968.0,174.33,5.0,,23573.0,audi,a4
maruti swift ldi,delhi,2014,52000,diesel,manual,first,22.9,1248.0,74.0,5.0,,4675.0,maruti,swift
maruti swift ldi bsiv,kolkata,2014,53000,diesel,manual,first,17.8,1248.0,75.0,5.0,,3630.0,maruti,swift
maruti swift vdi,delhi,2013,65650,diesel,manual,first,28.4,1248.0,74.0,5.0,,4235.0,maruti,swift
hyundai grand i10 sportz,chennai,2015,54000,petrol,manual,third,18.9,1197.0,82.0,5.0,,3959.9999999999995,hyundai,grand
volkswagen vento 2013-2015 1.6 comfortline,kolkata,2015,39000,petrol,manual,first,15.04,1598.0,103.2,5.0,,4389.0,volkswagen,vento
renault kwid rxt,kochi,2017,16542,petrol,manual,first,25.17,799.0,53.3,5.0,,3630.0,renault,kwid
hyundai i10 asta,kolkata,2010,32000,petrol,manual,first,20.36,1197.0,78.9,5.0,,2276.9999999999995,hyundai,i10
nissan x-trail slx at,hyderabad,2010,121812,diesel,automatic,first,13.29,1995.0,147.6,5.0,,8525.0,nissan,x-trail
maruti zen estilo vxi bsiii,hyderabad,2010,39300,petrol,manual,first,18.2,998.0,67.1,5.0,,2475.0,maruti,zen
toyota innova crysta 2.4 gx mt 8s,mumbai,2017,22000,diesel,manual,first,13.68,2393.0,147.8,8.0,19.34 lakh,18150.0,toyota,innova
ford figo diesel titanium,bangalore,2010,72000,diesel,manual,first,20.0,1399.0,68.0,5.0,,3025.0,ford,figo
mercedes-benz new c-class c 200 cgi avantgarde,delhi,2015,58000,petrol,automatic,first,11.74,1796.0,186.0,5.0,,29370.0,mercedes-benz,new
mercedes-benz new c-class 200 cdi classic,pune,2011,65000,diesel,manual,second,15.8,2148.0,170.0,5.0,,11000.0,mercedes-benz,new
tata indica v2 els,chennai,2016,178000,diesel,manual,first,25.0,1396.0,69.0,5.0,,2750.0,tata,indica
audi a4 2.0 tdi multitronic,jaipur,2012,65664,diesel,automatic,first,16.55,1968.0,140.0,5.0,,14850.0,audi,a4
honda city zx cvt,mumbai,2007,63000,petrol,automatic,second,16.4,1497.0,78.0,5.0,,2034.9999999999998,honda,city
mercedes-benz c-class progressive c 220d,coimbatore,2019,15369,diesel,automatic,first,0.0,1950.0,194.0,5.0,49.14 lakh,39237.0,mercedes-benz,c-class
maruti ertiga shvs vdi,pune,2016,63000,diesel,manual,first,24.52,1248.0,88.5,7.0,,8965.0,maruti,ertiga
hyundai creta 1.4 e plus diesel,mumbai,2018,13000,diesel,manual,first,22.1,1396.0,88.7,5.0,11.81 lakh,11550.0,hyundai,creta
porsche cayenne 2009-2014 turbo,mumbai,2008,73000,petrol,automatic,first,8.5,4806.0,500.0,5.0,,15949.999999999998,porsche,cayenne
mahindra xuv500 w8 4wd,mumbai,2015,55729,diesel,manual,first,15.1,2179.0,140.0,7.0,,10615.0,mahindra,xuv500
hyundai i10 sportz 1.2 at,kochi,2012,45178,petrol,automatic,first,16.95,1197.0,78.9,5.0,,3828.0,hyundai,i10
nissan terrano xv d pre,kochi,2015,56066,diesel,manual,first,19.64,1461.0,108.5,5.0,16.65 lakh,7612.0,nissan,terrano
honda brio vx at,coimbatore,2016,37300,petrol,automatic,second,16.5,1198.0,86.8,5.0,,7106.0,honda,brio
audi a6 2.0 tdi design edition,delhi,2014,56000,diesel,automatic,second,18.53,1968.0,187.74,5.0,,32449.999999999996,audi,a6
ford fiesta 1.4 sxi tdci,jaipur,2008,111111,diesel,manual,first,17.8,1399.0,,5.0,,2200.0,ford,fiesta
toyota innova 2.0 g1,chennai,2006,230000,petrol,manual,third,12.4,1998.0,132.0,8.0,,4950.0,toyota,innova
toyota innova 2.5 vx 7 str bsiv,hyderabad,2012,104000,diesel,manual,first,12.8,2494.0,102.0,7.0,,12925.0,toyota,innova
hyundai santro xing xl,hyderabad,2005,87591,petrol,manual,first,0.0,1086.0,,5.0,,1430.0,hyundai,santro
maruti swift vdi,jaipur,2012,95100,diesel,manual,first,22.9,1248.0,74.0,5.0,,4125.0,maruti,swift
tata zest revotron 1.2t xe,pune,2017,70000,petrol,manual,first,17.57,1193.0,88.7,5.0,6.67 lakh,4950.0,tata,zest
honda amaze sx i-vtec,kochi,2016,54944,petrol,manual,first,18.0,1198.0,86.7,5.0,,5302.0,honda,amaze
ford figo diesel zxi,hyderabad,2012,70337,diesel,manual,first,20.0,1399.0,68.0,5.0,,3080.0,ford,figo
maruti ritz vdi,jaipur,2013,99638,diesel,manual,first,23.2,1248.0,73.94,5.0,,3421.0,maruti,ritz
honda city i vtec e,delhi,2009,52000,petrol,manual,first,17.8,1497.0,117.3,5.0,,3575.0,honda,city
bmw 5 series 2003-2012 525d,delhi,2011,75000,diesel,automatic,second,16.73,1995.0,218.0,5.0,,15290.0,bmw,5
hyundai i10 sportz 1.2,pune,2009,95980,petrol,manual,first,20.36,1197.0,78.9,5.0,,2475.0,hyundai,i10
hyundai grand i10 sportz,bangalore,2016,16000,petrol,manual,first,18.9,1197.0,82.0,5.0,,6325.0,hyundai,grand
hyundai santro xing xo,hyderabad,2007,73745,petrol,manual,first,17.0,1086.0,,5.0,,2310.0,hyundai,santro
honda amaze sx i-vtec,mumbai,2016,18949,petrol,manual,first,17.8,1198.0,86.7,5.0,,5500.0,honda,amaze
toyota fortuner 4x2 manual,delhi,2014,107000,diesel,manual,first,13.0,2982.0,168.5,7.0,,18150.0,toyota,fortuner
audi a6 2011-2015 35 tdi premium,coimbatore,2018,48367,diesel,automatic,first,17.68,1968.0,174.33,5.0,,43538.0,audi,a6
ford ecosport 1.5 dv5 mt titanium optional,delhi,2013,57000,diesel,manual,first,22.7,1498.0,89.84,5.0,,6050.0,ford,ecosport
mahindra xuv500 w8 2wd,delhi,2014,58000,diesel,manual,first,15.1,2179.0,140.0,7.0,,8910.0,mahindra,xuv500
honda amaze sx i-dtec,kolkata,2015,30000,diesel,manual,first,25.8,1498.0,98.6,5.0,,3850.0,honda,amaze
volkswagen polo diesel highline 1.2l,kolkata,2013,34212,diesel,manual,first,22.07,1199.0,73.9,5.0,,3069.0,volkswagen,polo
hyundai verna transform sx vgt crdi,ahmedabad,2010,70002,diesel,manual,first,16.2,1493.0,110.0,5.0,,3795.0,hyundai,verna
maruti wagon r vxi bs iv,bangalore,2016,62000,petrol,manual,first,18.9,998.0,67.1,5.0,,4895.0,maruti,wagon
volkswagen polo petrol highline 1.6l,delhi,2010,62001,petrol,manual,first,15.26,1598.0,103.5,5.0,,2915.0,volkswagen,polo
hyundai i20 1.4 crdi sportz,pune,2011,78958,diesel,manual,second,23.0,1396.0,90.0,5.0,,4180.0,hyundai,i20
hyundai i20 asta 1.2,mumbai,2014,30180,petrol,manual,first,18.5,1197.0,82.85,5.0,,5115.0,hyundai,i20
datsun go plus t petrol,pune,2017,32851,petrol,manual,first,19.83,1198.0,67.0,7.0,6.45 lakh,4345.0,datsun,go
audi a4 3.0 tdi quattro premium,kolkata,2010,30000,diesel,automatic,first,14.94,2967.0,241.4,5.0,,10780.0,audi,a4
hyundai i20 2015-2017 asta,pune,2009,66000,petrol,manual,second,17.0,1197.0,80.0,5.0,,2970.0,hyundai,i20
maruti omni 5 str std,coimbatore,2010,93850,petrol,manual,first,14.0,796.0,35.0,5.0,,2651.0,maruti,omni
toyota etios liva 1.2 g,ahmedabad,2014,53000,petrol,manual,first,17.71,1197.0,78.9,5.0,6.41 lakh,4290.0,toyota,etios
jaguar xf 3.0 litre s premium luxury,hyderabad,2011,78000,diesel,automatic,second,14.74,2993.0,270.9,5.0,,26400.0,jaguar,xf
mahindra xuv500 w8 2wd,delhi,2012,65000,diesel,manual,second,16.0,2179.0,140.0,7.0,,6325.0,mahindra,xuv500
hyundai verna 1.6 sx crdi (o) at,kolkata,2014,40000,diesel,automatic,first,22.32,1582.0,126.32,5.0,,5775.0,hyundai,verna
toyota innova crysta 2.8 zx at,mumbai,2017,30000,diesel,automatic,first,11.36,2755.0,171.5,7.0,27 lakh,21175.0,toyota,innova
maruti eeco 5 seater ac,coimbatore,2017,38053,petrol,manual,first,15.1,1196.0,73.0,5.0,5.13 lakh,4301.0,maruti,eeco
tata nano twist xt,bangalore,2014,25500,petrol,manual,first,25.4,624.0,37.5,4.0,,2365.0,tata,nano
bmw 3 series 320d luxury line,mumbai,2015,56087,diesel,automatic,first,22.69,1995.0,190.0,5.0,54.43 lakh,22825.0,bmw,3
honda civic 2006-2010 1.8 v mt,delhi,2010,71088,petrol,manual,first,13.5,1799.0,130.0,5.0,,3685.0,honda,civic
toyota innova 2.5 vx (diesel) 7 seater,ahmedabad,2014,55000,diesel,manual,first,12.99,2494.0,100.6,7.0,,12221.0,toyota,innova
volvo v40 cross country d3,bangalore,2014,32700,diesel,automatic,first,23.3,1984.0,150.0,5.0,,22000.0,volvo,v40
nissan micra xv cvt,coimbatore,2016,39882,petrol,automatic,first,19.15,1198.0,75.94,5.0,9.51 lakh,7205.0,nissan,micra
bmw 5 series 2010-2013 525i,mumbai,2009,128000,petrol,automatic,first,10.8,2497.0,215.0,5.0,,7700.0,bmw,5
maruti vitara brezza vdi,mumbai,2016,55000,diesel,manual,first,24.3,1248.0,88.5,5.0,9.96 lakh,8250.0,maruti,vitara
hyundai santro xing xl erlx euro iii,mumbai,2005,102000,petrol,manual,second,17.0,1086.0,,5.0,,935.0,hyundai,santro
mercedes-benz b class b200 cdi,pune,2014,53753,diesel,automatic,second,15.0,2143.0,107.3,5.0,,18425.0,mercedes-benz,b
hyundai verna crdi 1.6 sx option,kolkata,2018,10250,diesel,manual,first,22.0,1582.0,126.2,5.0,14.44 lakh,12045.0,hyundai,verna
maruti wagon r lxi bs iv,pune,2011,43874,petrol,manual,first,18.9,998.0,67.1,5.0,,2695.0,maruti,wagon
tata nano xta,coimbatore,2017,32684,petrol,automatic,first,21.9,624.0,37.48,4.0,,3553.0,tata,nano
mahindra scorpio vlx,kolkata,2014,42000,diesel,manual,first,12.05,2179.0,120.0,8.0,,8525.0,mahindra,scorpio
mercedes-benz new c-class 200 k at,kolkata,2009,28352,petrol,automatic,first,11.7,1796.0,178.0,5.0,,10285.0,mercedes-benz,new
maruti wagon r lxi cng,pune,2013,89900,cng,manual,first,26.6,998.0,58.16,5.0,,3575.0,maruti,wagon
honda cr-v 2.4 mt,bangalore,2007,47700,petrol,manual,second,10.8,2354.0,152.0,5.0,,5775.0,honda,cr-v
volkswagen vento 1.5 tdi comfortline at,pune,2015,55000,diesel,automatic,first,21.21,1498.0,103.2,5.0,,7974.999999999999,volkswagen,vento
maruti ciaz vxi plus,kochi,2017,44285,petrol,manual,first,20.73,1373.0,91.1,5.0,,8217.0,maruti,ciaz
mahindra xuv500 at w10 fwd,jaipur,2016,54000,diesel,automatic,first,16.0,2179.0,140.0,7.0,,14575.0,mahindra,xuv500
maruti ritz vxi abs,coimbatore,2016,30232,petrol,manual,first,21.1,1197.0,85.8,5.0,,6391.0,maruti,ritz
maruti alto k10 vxi,hyderabad,2014,88500,petrol,manual,first,24.07,998.0,67.1,5.0,4.53 lakh,2860.0,maruti,alto
mercedes-benz slc 43 amg,kolkata,2017,13372,petrol,automatic,first,19.0,2996.0,362.07,2.0,95.04 lakh,59400.0,mercedes-benz,slc
hyundai verna vtvt 1.6 at sx plus,kochi,2019,12645,petrol,automatic,first,17.0,1591.0,121.3,5.0,13.49 lakh,12650.0,hyundai,verna
maruti alto lxi bsiii,chennai,2010,94385,petrol,manual,second,19.7,796.0,46.3,5.0,,1760.0,maruti,alto
bmw 1 series 118d base,coimbatore,2015,31821,diesel,automatic,first,20.58,1995.0,143.0,5.0,,18942.0,bmw,1
honda jazz 1.2 v cvt i vtec,mumbai,2015,12000,petrol,automatic,first,19.0,1199.0,88.7,5.0,,6600.0,honda,jazz
honda civic 2006-2010 1.8 v mt,delhi,2012,88578,petrol,manual,first,13.5,1799.0,130.0,5.0,,4345.0,honda,civic
mercedes-benz new c-class c 220 cdi avantgarde,kochi,2014,44965,diesel,automatic,first,19.27,2143.0,170.0,5.0,,19745.0,mercedes-benz,new
honda amaze sx i-dtec,kolkata,2014,45044,diesel,manual,first,25.8,1498.0,98.6,5.0,,4069.9999999999995,honda,amaze
maruti swift vvt vxi,kochi,2016,34204,petrol,manual,first,22.0,1197.0,81.8,5.0,,5973.0,maruti,swift
hyundai santro xing xo erlx euro ii,kochi,2008,80759,petrol,manual,third,17.0,1086.0,,5.0,,1837.0,hyundai,santro
toyota fortuner 3.0 diesel,coimbatore,2012,91235,diesel,manual,first,11.5,2982.0,171.0,7.0,,14839.0,toyota,fortuner
chevrolet beat lt option,pune,2014,38800,petrol,manual,first,18.6,1199.0,76.8,5.0,,3135.0,chevrolet,beat
skoda rapid 1.5 tdi elegance,chennai,2013,83000,diesel,manual,first,21.14,1498.0,103.52,5.0,,5225.0,skoda,rapid
maruti ciaz 1.4 alpha,kochi,2018,41283,petrol,manual,first,20.73,1373.0,91.1,5.0,,10890.0,maruti,ciaz
audi rs5 coupe,mumbai,2013,23000,petrol,automatic,first,11.05,2894.0,444.0,4.0,1.28 cr,40700.0,audi,rs5
bmw 3 series luxury line,mumbai,2014,48000,diesel,automatic,first,21.76,1995.0,190.0,5.0,60.88 lakh,29150.0,bmw,3
audi a4 2.0 tdi 177 bhp premium plus,coimbatore,2015,48214,diesel,automatic,first,17.11,1968.0,174.33,5.0,,25652.0,audi,a4
maruti swift vdi,chennai,2016,35000,diesel,manual,first,22.9,1248.0,74.0,5.0,,6875.0,maruti,swift
mercedes-benz s class 2005 2013 s 500,kolkata,2010,35277,petrol,automatic,first,7.81,5461.0,362.9,5.0,,33000.0,mercedes-benz,s
skoda rapid 1.5 tdi at elegance plus black package,coimbatore,2016,54620,diesel,automatic,first,21.66,1498.0,103.52,5.0,,10846.0,skoda,rapid
skoda superb elegance 2.0 tdi cr at,pune,2012,136997,diesel,automatic,first,17.2,1968.0,138.1,5.0,,9350.0,skoda,superb
hyundai eon magna plus,kochi,2019,14322,petrol,manual,first,21.1,814.0,55.2,5.0,,4653.0,hyundai,eon
volkswagen polo diesel trendline 1.2l,jaipur,2012,65634,diesel,manual,first,22.07,1199.0,73.9,5.0,,3850.0,volkswagen,polo
datsun go nxt,kolkata,2016,6000,petrol,manual,first,20.63,1198.0,67.06,5.0,,2750.0,datsun,go
honda brio s mt,kolkata,2013,33280,petrol,manual,first,19.4,1198.0,86.8,5.0,,2629.0,honda,brio
mercedes-benz b class b180,delhi,2013,29000,petrol,automatic,first,14.8,1595.0,120.7,5.0,,12375.0,mercedes-benz,b
honda city i dtec v,kochi,2015,42831,diesel,manual,first,26.0,1498.0,98.6,5.0,,7821.0,honda,city
toyota innova 2.5 g (diesel) 7 seater,ahmedabad,2016,90000,diesel,manual,first,12.99,2494.0,100.6,7.0,,11990.0,toyota,innova
maruti swift vxi optional,ahmedabad,2017,24005,petrol,manual,first,20.4,1197.0,81.8,5.0,,6820.0,maruti,swift
mahindra xuv500 w8 2wd,mumbai,2012,32792,diesel,manual,first,15.1,2179.0,140.0,7.0,,8690.0,mahindra,xuv500
ford ecosport 1.5 dv5 mt ambiente,kochi,2014,147898,diesel,manual,first,22.7,1498.0,89.84,5.0,,4862.0,ford,ecosport
toyota fortuner 4x2 manual,mumbai,2012,131765,diesel,manual,first,13.0,2982.0,168.5,7.0,,14850.0,toyota,fortuner
volkswagen vento 1.5 highline plus at 16 alloy,chennai,2013,65000,diesel,automatic,first,21.5,1498.0,108.5,5.0,,6875.0,volkswagen,vento
ford figo diesel titanium,jaipur,2010,66123,diesel,manual,second,20.0,1399.0,68.0,5.0,,2310.0,ford,figo
bmw x5 xdrive 30d,mumbai,2015,41000,diesel,automatic,first,15.3,2993.0,258.0,5.0,,49500.0,bmw,x5
mercedes-benz new c-class c 220 cdi style,coimbatore,2017,23550,diesel,automatic,first,19.27,2143.0,167.62,5.0,,37025.99999999999,mercedes-benz,new
honda brio v mt,bangalore,2012,45000,petrol,manual,second,19.4,1198.0,86.8,5.0,,4014.9999999999995,honda,brio
hyundai i10 magna 1.2,delhi,2013,60000,petrol,manual,first,20.36,1197.0,78.9,5.0,,3025.0,hyundai,i10
mercedes-benz glc 220,bangalore,2016,44414,diesel,automatic,first,17.9,2143.0,170.0,5.0,,46750.0,mercedes-benz,glc
hyundai grand i10 1.2 kappa asta,kolkata,2019,1000,petrol,manual,first,18.9,1197.0,81.86,5.0,7.39 lakh,7150.0,hyundai,grand
audi a6 2011-2015 2.0 tdi premium plus,mumbai,2012,62500,diesel,automatic,second,17.68,1968.0,174.33,5.0,,20900.0,audi,a6
volkswagen vento petrol highline at,mumbai,2013,21000,petrol,automatic,second,14.4,1598.0,103.6,5.0,,4895.0,volkswagen,vento
mini countryman cooper d,jaipur,2017,8525,diesel,automatic,second,16.6,1998.0,112.0,5.0,,25300.0,mini,countryman
hyundai i20 asta 1.4 crdi,bangalore,2014,29000,diesel,manual,first,22.54,1396.0,88.73,5.0,,9185.0,hyundai,i20
audi a6 2011-2015 2.0 tdi premium plus,mumbai,2014,40000,diesel,automatic,first,17.68,1968.0,174.33,5.0,,25245.0,audi,a6
chevrolet beat diesel lt,jaipur,2012,88000,diesel,manual,first,25.44,936.0,57.6,5.0,,1650.0,chevrolet,beat
skoda superb elegance 1.8 tsi at,kochi,2012,53537,petrol,automatic,first,13.7,1798.0,157.75,5.0,,7579.0,skoda,superb
ford fiesta 1.4 tdci exi limited edition,chennai,2006,216000,diesel,manual,second,17.8,1399.0,68.0,5.0,,1595.0,ford,fiesta
bmw 5 series 520d luxury line,hyderabad,2014,51000,diesel,automatic,first,22.48,1995.0,190.0,5.0,69.47 lakh,36850.0,bmw,5
chevrolet optra magnum 1.6 ls bs3,jaipur,2007,118500,petrol,manual,first,12.9,1598.0,102.5,5.0,,1375.0,chevrolet,optra
volkswagen polo diesel highline 1.2l,hyderabad,2012,63000,diesel,manual,first,22.07,1199.0,73.9,5.0,,4620.0,volkswagen,polo
renault lodgy 110ps rxz 8 seater,mumbai,2015,25000,diesel,manual,first,19.98,1461.0,108.5,8.0,,7425.0,renault,lodgy
mercedes-benz e-class e250 cdi avantgrade,bangalore,2014,37382,diesel,automatic,first,13.0,2143.0,201.1,5.0,,35200.0,mercedes-benz,e-class
maruti baleno alpha,kochi,2017,24773,petrol,manual,first,21.4,1197.0,83.1,5.0,8.78 lakh,8250.0,maruti,baleno
hyundai verna 1.6 sx,delhi,2012,62000,diesel,manual,first,22.32,1582.0,126.32,5.0,,5059.999999999999,hyundai,verna
hyundai i10 magna 1.1,kochi,2017,52340,petrol,manual,first,19.81,1086.0,68.05,5.0,,4444.0,hyundai,i10
mahindra scorpio 1.99 s10 4wd,kochi,2016,56739,diesel,manual,first,15.4,1997.0,120.0,7.0,,11341.0,mahindra,scorpio
land rover range rover 2.2l dynamic,coimbatore,2018,36091,diesel,automatic,first,12.7,2179.0,187.7,5.0,,61336.0,land rover,range rover
ford figo diesel zxi,chennai,2010,120000,diesel,manual,first,20.0,1399.0,68.0,5.0,,2860.0,ford,figo
maruti ertiga zdi,mumbai,2016,33000,diesel,manual,first,25.47,1248.0,88.5,7.0,12.74 lakh,9350.0,maruti,ertiga
honda city 1.5 gxi,ahmedabad,2007,60006,petrol,manual,first,0.0,,,,,3245.0,honda,city
honda amaze s i-dtech,kolkata,2014,52000,diesel,manual,first,25.8,1498.0,98.6,5.0,,3850.0,honda,amaze
hyundai i10 magna,jaipur,2015,43571,petrol,manual,first,20.36,1197.0,78.9,5.0,,3905.0,hyundai,i10
honda amaze s i-dtech,kolkata,2013,50000,diesel,manual,first,25.8,1498.0,98.6,5.0,,3575.0,honda,amaze
skoda laura ambiente,hyderabad,2008,113000,diesel,manual,first,17.5,1896.0,106.0,5.0,,4950.0,skoda,laura
renault duster 85ps diesel rxl,delhi,2014,90000,diesel,manual,first,19.87,1461.0,83.8,5.0,,5885.0,renault,duster
mahindra nuvosport n6,chennai,2017,29000,diesel,manual,second,17.45,1493.0,100.0,7.0,10.52 lakh,7150.0,mahindra,nuvosport
maruti vitara brezza zdi plus dual tone,mumbai,2016,20000,diesel,manual,first,24.3,1248.0,88.5,5.0,11.98 lakh,9900.0,maruti,vitara
hyundai i20 asta option 1.2,kochi,2016,61012,petrol,manual,first,18.6,1197.0,81.83,5.0,,6600.0,hyundai,i20
skoda fabia 1.4 mpi ambiente,jaipur,2009,87459,petrol,manual,first,14.7,1390.0,85.0,5.0,,3025.0,skoda,fabia
tata indigo ecs glx,pune,2010,70500,petrol,manual,first,15.64,1193.0,64.1,5.0,,1650.0,tata,indigo
audi q3 2012-2015 35 tdi quattro premium plus,delhi,2015,64103,diesel,automatic,first,15.73,1968.0,174.33,5.0,,21889.999999999996,audi,q3
