Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model
Jaipur,2009,83816.0,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,Maruti,Wagon
Kochi,2018,50075.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,Maruti,Vitara
Delhi,2017,52000.0,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,Mahindra,KUV
Pune,2013,85000.0,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,Mercedes-Benz,M-Class
Chennai,2013,62000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,Volkswagen,Polo
Delhi,2008,90000.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,Maruti,Alto
Kochi,2014,19698.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,Tata,Nano
Coimbatore,2017,22033.0,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,Mahindra,KUV
Kochi,2014,35487.0,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,Hyundai,i20
Bangalore,2014,46374.0,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,Hyundai,Elantra
Mumbai,2016,52001.0,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,Toyota,Corolla
Ahmedabad,2008,58005.0,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,Hyundai,Elantra
Bangalore,2012,70704.0,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,Toyota,Innova
Jaipur,2014,75000.0,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,Hyundai,Xcent
Jaipur,2012,75800.0,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,Mahindra,Thar
Kochi,2015,13648.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,Audi,A4
Delhi,2014,52000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,Maruti,Swift
Kolkata,2014,53000.0,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,Maruti,Swift
Delhi,2013,65650.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,Maruti,Swift
Chennai,2015,54000.0,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,Hyundai,Grand
Kolkata,2015,39000.0,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,Volkswagen,Vento
Kochi,2017,16542.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,Renault,KWID
Kolkata,2010,32000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,Hyundai,i10
Hyderabad,2010,121812.0,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75,Nissan,X-Trail
Hyderabad,2010,39300.0,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,Maruti,Zen
Mumbai,2017,22000.0,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,Toyota,Innova
Bangalore,2010,72000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,Ford,Figo
Delhi,2015,58000.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,Mercedes-Benz,New
Pune,2011,65000.0,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,Mercedes-Benz,New
Chennai,2016,178000.0,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,Tata,Indica
Jaipur,2012,65664.0,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,Audi,A4
Mumbai,2007,63000.0,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,Honda,City
Coimbatore,2019,15369.0,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67,Mercedes-Benz,C-Class
Pune,2016,63000.0,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,Maruti,Ertiga
Mumbai,2018,13000.0,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,Hyundai,Creta
Mumbai,2008,73000.0,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,Porsche,Cayenne
Mumbai,2015,55729.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,Mahindra,XUV500
Kochi,2012,45178.0,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,Hyundai,i10
Kochi,2015,56066.0,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,Nissan,Terrano
Coimbatore,2016,37300.0,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,Honda,Brio
Delhi,2014,56000.0,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,Audi,A6
Jaipur,2008,111111.0,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.0,Ford,Fiesta
Chennai,2006,230000.0,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,Toyota,Innova
Hyderabad,2012,104000.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,Toyota,Innova
Hyderabad,2005,87591.0,Petrol,Manual,First,0.0,1086.0,62.27931034482759,5.0,1.3,Hyundai,Santro
Jaipur,2012,95100.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,Maruti,Swift
Pune,2017,70000.0,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,Tata,Zest
Kochi,2016,54944.0,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,Honda,Amaze
Hyderabad,2012,70337.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,Ford,Figo
Jaipur,2013,99638.0,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,Maruti,Ritz
Delhi,2009,52000.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,Honda,City
Delhi,2011,75000.0,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,BMW,5
Pune,2009,95980.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,Hyundai,i10
Bangalore,2016,16000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,Hyundai,Grand
Hyderabad,2007,73745.0,Petrol,Manual,First,17.0,1086.0,62.27931034482759,5.0,2.1,Hyundai,Santro
Mumbai,2016,18949.0,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,Honda,Amaze
Delhi,2014,107000.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,Toyota,Fortuner
Coimbatore,2018,48367.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,Audi,A6
Delhi,2013,57000.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,Ford,Ecosport
Delhi,2014,58000.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,Mahindra,XUV500
Kolkata,2015,30000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda,Amaze
Kolkata,2013,34212.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,Volkswagen,Polo
Ahmedabad,2010,70002.0,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,Hyundai,Verna
Bangalore,2016,62000.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,Maruti,Wagon
Delhi,2010,62001.0,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,Volkswagen,Polo
Pune,2011,78958.0,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,Hyundai,i20
Mumbai,2014,30180.0,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,Hyundai,i20
Pune,2017,32851.0,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,Datsun,GO
Kolkata,2010,30000.0,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,Audi,A4
Pune,2009,66000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,Hyundai,i20
Coimbatore,2010,93850.0,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,Maruti,Omni
Ahmedabad,2014,53000.0,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,Toyota,Etios
Hyderabad,2011,78000.0,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,Jaguar,XF
Delhi,2012,65000.0,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,Mahindra,XUV500
Kolkata,2014,40000.0,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,Hyundai,Verna
Mumbai,2017,30000.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,Toyota,Innova
Coimbatore,2017,38053.0,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,Maruti,Eeco
Bangalore,2014,25500.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,Tata,Nano
Mumbai,2015,56087.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,BMW,3
Delhi,2010,71088.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,Honda,Civic
Ahmedabad,2014,55000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,Toyota,Innova
Bangalore,2014,32700.0,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,Volvo,V40
Coimbatore,2016,39882.0,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,Nissan,Micra
Mumbai,2009,128000.0,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,BMW,5
Mumbai,2016,55000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,Maruti,Vitara
Mumbai,2005,102000.0,Petrol,Manual,Second,17.0,1086.0,62.27931034482759,5.0,0.85,Hyundai,Santro
Pune,2014,53753.0,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,Mercedes-Benz,B
Kolkata,2018,10250.0,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,Hyundai,Verna
Pune,2011,43874.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,Maruti,Wagon
Coimbatore,2017,32684.0,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,Tata,Nano
Kolkata,2014,42000.0,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,Mahindra,Scorpio
Kolkata,2009,28352.0,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,Mercedes-Benz,New
Pune,2013,89900.0,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25,Maruti,Wagon
Bangalore,2007,47700.0,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,Honda,CR-V
Pune,2015,55000.0,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,Volkswagen,Vento
Kochi,2017,44285.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,Maruti,Ciaz
Jaipur,2016,54000.0,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,Mahindra,XUV500
Coimbatore,2016,30232.0,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,Maruti,Ritz
Hyderabad,2014,88500.0,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,Maruti,Alto
Kolkata,2017,13372.0,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,Mercedes-Benz,SLC
Kochi,2019,12645.0,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,Hyundai,Verna
Chennai,2010,94385.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,Maruti,Alto
Coimbatore,2015,31821.0,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,BMW,1
Mumbai,2015,12000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,Honda,Jazz
Delhi,2012,88578.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,Honda,Civic
Kochi,2014,44965.0,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,Mercedes-Benz,New
Kolkata,2014,45044.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,Honda,Amaze
Kochi,2016,34204.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,Maruti,Swift
Kochi,2008,80759.0,Petrol,Manual,Third,17.0,1086.0,62.27931034482759,5.0,1.67,Hyundai,Santro
Coimbatore,2012,91235.0,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,Toyota,Fortuner
Pune,2014,38800.0,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,Chevrolet,Beat
Chennai,2013,83000.0,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,Skoda,Rapid
Kochi,2018,41283.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,Maruti,Ciaz
Mumbai,2013,23000.0,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,Audi,RS5
Mumbai,2014,48000.0,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,BMW,3
Coimbatore,2015,48214.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32,Audi,A4
Chennai,2016,35000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,Maruti,Swift
Kolkata,2010,35277.0,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0,Mercedes-Benz,S
Coimbatore,2016,54620.0,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,Skoda,Rapid
Pune,2012,136997.0,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5,Skoda,Superb
Kochi,2019,14322.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,Hyundai,EON
Jaipur,2012,65634.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen,Polo
Kolkata,2016,6000.0,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,Datsun,GO
Kolkata,2013,33280.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39,Honda,Brio
Delhi,2013,29000.0,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25,Mercedes-Benz,B
Kochi,2015,42831.0,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,Honda,City
Ahmedabad,2016,90000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9,Toyota,Innova
Ahmedabad,2017,24005.0,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2,Maruti,Swift
Mumbai,2012,32792.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9,Mahindra,XUV500
Kochi,2014,147898.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42,Ford,Ecosport
Mumbai,2012,131765.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5,Toyota,Fortuner
Chennai,2013,65000.0,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25,Volkswagen,Vento
Jaipur,2010,66123.0,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1,Ford,Figo
Mumbai,2015,41000.0,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0,BMW,X5
Coimbatore,2017,23550.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66,Mercedes-Benz,New
Bangalore,2012,45000.0,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65,Honda,Brio
Delhi,2013,60000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,Hyundai,i10
Bangalore,2016,44414.0,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5,Mercedes-Benz,GLC
Kolkata,2019,1000.0,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5,Hyundai,Grand
Mumbai,2012,62500.0,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0,Audi,A6
Mumbai,2013,21000.0,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45,Volkswagen,Vento
Jaipur,2017,8525.0,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0,Mini,Countryman
Bangalore,2014,29000.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35,Hyundai,i20
Mumbai,2014,40000.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95,Audi,A6
Jaipur,2012,88000.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5,Chevrolet,Beat
Kochi,2012,53537.0,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89,Skoda,Superb
Chennai,2006,216000.0,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45,Ford,Fiesta
Hyderabad,2014,51000.0,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5,BMW,5
Jaipur,2007,118500.0,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25,Chevrolet,Optra
Hyderabad,2012,63000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2,Volkswagen,Polo
Mumbai,2015,25000.0,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75,Renault,Lodgy
Bangalore,2014,37382.0,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0,Mercedes-Benz,E-Class
Kochi,2017,24773.0,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5,Maruti,Baleno
Delhi,2012,62000.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6,Hyundai,Verna
Kochi,2017,52340.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04,Hyundai,i10
Kochi,2016,56739.0,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31,Mahindra,Scorpio
Coimbatore,2018,36091.0,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76,Land Rover,Range Rover 2.2L Dynamic
Chennai,2010,120000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,Ford,Figo
Mumbai,2016,33000.0,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5,Maruti,Ertiga
Ahmedabad,2007,60006.0,Petrol,Manual,First,0.0,1493.0,100.0,5.0,2.95,Honda,City
Kolkata,2014,52000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda,Amaze
Jaipur,2015,43571.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55,Hyundai,i10
Kolkata,2013,50000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,Honda,Amaze
Hyderabad,2008,113000.0,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5,Skoda,Laura
Delhi,2014,90000.0,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35,Renault,Duster
Chennai,2017,29000.0,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5,Mahindra,NuvoSport
Mumbai,2016,20000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0,Maruti,Vitara
Kochi,2016,61012.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0,Hyundai,i20
Jaipur,2009,87459.0,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75,Skoda,Fabia
Pune,2010,70500.0,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5,Tata,Indigo
Delhi,2015,64103.0,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9,Audi,Q3
Mumbai,2014,76000.0,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0,Skoda,Octavia
Delhi,2014,104000.0,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0,Toyota,Etios
Kolkata,2010,42001.0,Petrol,Manual,First,16.1,1240.469387755102,77.88168195718654,5.0,2.11,Maruti,Swift
Kochi,2014,37245.0,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96,Mercedes-Benz,B
Kolkata,2013,45000.0,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25,Honda,Amaze
Jaipur,2012,117837.0,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75,Hyundai,Verna
Mumbai,2014,30000.0,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95,Renault,Duster
Delhi,2015,27057.0,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15,Hyundai,Creta
Mumbai,2016,8500.0,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22,Maruti,Wagon
Kolkata,2010,30500.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5,Mercedes-Benz,New
Delhi,2012,56000.0,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0,Audi,A8
Pune,2012,44000.0,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9,Hyundai,i10
Mumbai,2017,10500.0,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9,Skoda,Rapid
Hyderabad,2017,26000.0,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0,Skoda,Superb
Coimbatore,2018,25166.0,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22,Hyundai,i20
Kolkata,2014,64000.0,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5,Honda,Amaze
Chennai,2004,61000.0,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25,Maruti,Wagon
Hyderabad,2013,107000.0,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7,Mahindra,Verito
Coimbatore,2018,29161.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41,Mercedes-Benz,New
Kolkata,2013,32000.0,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65,Maruti,Wagon
Coimbatore,2015,46173.0,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92,Nissan,Terrano
Delhi,2013,47000.0,Diesel,Manual,First,17.8,1248.0,77.88168195718654,5.0,4.1,Maruti,Swift
Kochi,2017,26327.0,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67,Mini,Cooper
Bangalore,2015,70436.0,Diesel,Manual,First,0.0,1498.0,99.0,5.0,3.6,Ford,Figo
Jaipur,2007,200000.0,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85,Tata,Indica
Kochi,2016,60813.0,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32,Chevrolet,Beat
Mumbai,2012,45000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6,Volkswagen,Polo
Hyderabad,2016,64000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8,Maruti,Swift
Kolkata,2012,41284.0,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5,Ford,Figo
Kochi,2019,14165.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64,Toyota,Innova
Mumbai,2011,67000.0,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0,Hyundai,Santa
Kolkata,2011,32572.0,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87,Honda,City
Kochi,2018,14960.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27,Hyundai,i20
Kochi,2015,55980.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12,Mercedes-Benz,New
Mumbai,2013,74000.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,Chevrolet,Beat
Kochi,2015,56847.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2,Hyundai,i20
Coimbatore,2015,121374.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3,Toyota,Innova
Chennai,2013,52000.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9,Maruti,Ertiga
Mumbai,2014,118000.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75,Toyota,Innova
Mumbai,2007,72000.0,Petrol,Manual,Third,17.0,1086.0,62.27931034482759,5.0,0.95,Hyundai,Santro
Kochi,2016,33915.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09,Honda,City
Ahmedabad,2014,82002.0,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5,BMW,X1
