Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,prix_euro,marque_modele
2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5500.0,Honda Amaze
2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,18150.0,Toyota Fortuner
2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,43538.0,Audi A6
2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6050.0,Ford Ecosport
2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8910.0,Mahindra XUV500
2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3850.0,Honda Amaze
2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3069.0,Volkswagen Polo
2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3795.0,Hyundai Verna
2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4895.0,Maruti Wagon
2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2915.0,Volkswagen Polo
2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,4180.0,Hyundai i20
2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,5115.0,Hyundai i20
2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,4345.0,Datsun GO
2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,10780.0,Audi A4
2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2970.0,Hyundai i20
2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2651.0,Maruti Omni
2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,4290.0,Toyota Etios
2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,26400.0,Jaguar XF
2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,6325.0,Mahindra XUV500
2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5775.0,Hyundai Verna
2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,21175.0,Toyota Innova
2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,4301.0,Maruti Eeco
2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2365.0,Tata Nano
2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,22825.0,BMW 3
2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3685.0,Honda Civic
2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12221.0,Toyota Innova
2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,22000.0,Volvo V40
2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,7205.0,Nissan Micra
2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7700.0,BMW 5
2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8250.0,Maruti Vitara
2005,102000,Petrol,Manual,Second,17.0,1086.0,113.0,5.0,935.0,Hyundai Santro
2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,18425.0,Mercedes-Benz B
2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,12045.0,Hyundai Verna
2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2695.0,Maruti Wagon
2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3553.0,Tata Nano
2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,8525.0,Mahindra Scorpio
2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,10285.0,Mercedes-Benz New
2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3575.0,Maruti Wagon
2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5775.0,Honda CR-V
2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7974.999999999999,Volkswagen Vento
2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,8217.0,Maruti Ciaz
2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,14575.0,Mahindra XUV500
2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,6391.0,Maruti Ritz
2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2860.0,Maruti Alto
2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,59400.0,Mercedes-Benz SLC
2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,12650.0,Hyundai Verna
2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1760.0,Maruti Alto
2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,18942.0,BMW 1
2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6600.0,Honda Jazz
2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,4345.0,Honda Civic
2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,19745.0,Mercedes-Benz New
2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4069.9999999999995,Honda Amaze
2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5973.0,Maruti Swift
2008,80759,Petrol,Manual,Third,17.0,1086.0,113.0,5.0,1837.0,Hyundai Santro
2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,14839.0,Toyota Fortuner
2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,3135.0,Chevrolet Beat
2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,5225.0,Skoda Rapid
2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,10890.0,Maruti Ciaz
2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,40700.0,Audi RS5
2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,29150.0,BMW 3
2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,25652.0,Audi A4
2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6875.0,Maruti Swift
2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,33000.0,Mercedes-Benz S
2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,10846.0,Skoda Rapid
2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,9350.0,Skoda Superb
2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4653.0,Hyundai EON
2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3850.0,Volkswagen Polo
2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2750.0,Datsun GO
2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2629.0,Honda Brio
2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,12375.0,Mercedes-Benz B
2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7821.0,Honda City
2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11990.0,Toyota Innova
2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6820.0,Maruti Swift
2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8690.0,Mahindra XUV500
2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4862.0,Ford Ecosport
2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,14850.0,Toyota Fortuner
2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6875.0,Volkswagen Vento
2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2310.0,Ford Figo
2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,49500.0,BMW X5
2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,37025.99999999999,Mercedes-Benz New
2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,4014.9999999999995,Honda Brio
2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3025.0,Hyundai i10
2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,46750.0,Mercedes-Benz GLC
2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7150.0,Hyundai Grand
2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,20900.0,Audi A6
2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4895.0,Volkswagen Vento
2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,25300.0,Mini Countryman
2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,9185.0,Hyundai i20
2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,25245.0,Audi A6
2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1650.0,Chevrolet Beat
2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,7579.0,Skoda Superb
2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1595.0,Ford Fiesta
2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,36850.0,BMW 5
2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1375.0,Chevrolet Optra
2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4620.0,Volkswagen Polo
2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,7425.0,Renault Lodgy
2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,35200.0,Mercedes-Benz E-Class
2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8250.0,Maruti Baleno
2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5059.999999999999,Hyundai Verna
2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4444.0,Hyundai i10
2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,11341.0,Mahindra Scorpio
2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,61336.0,Land Rover
2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2860.0,Ford Figo
2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,9350.0,Maruti Ertiga
2007,60006,Petrol,Manual,First,0.0,1622.0,113.0,5.0,3245.0,Honda City
2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3850.0,Honda Amaze
2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3905.0,Hyundai i10
2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3575.0,Honda Amaze
2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4950.0,Skoda Laura
2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5885.0,Renault Duster
2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,7150.0,Mahindra NuvoSport
2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9900.0,Maruti Vitara
2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6600.0,Hyundai i20
2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,3025.0,Skoda Fabia
2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1650.0,Tata Indigo
2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,21889.999999999996,Audi Q3
2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,11000.0,Skoda Octavia
2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3300.0,Toyota Etios
2010,42001,Petrol,Manual,First,16.1,1622.0,113.0,5.0,2321.0,Maruti Swift
2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,13156.0,Mercedes-Benz B
2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3575.0,Honda Amaze
2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5225.0,Hyundai Verna
2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,6545.0,Renault Duster
2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8965.0,Hyundai Creta
2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4642.0,Maruti Wagon
2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,11550.0,Mercedes-Benz New
2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,49500.0,Audi A8
2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,3190.0,Hyundai i10
2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,9790.0,Skoda Rapid
2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,28600.0,Skoda Superb
2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,9042.0,Hyundai i20
2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3850.0,Honda Amaze
2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1375.0,Maruti Wagon
2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,4069.9999999999995,Mahindra Verito
2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,43350.99999999999,Mercedes-Benz New
2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2915.0,Maruti Wagon
2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,9812.0,Nissan Terrano
2013,47000,Diesel,Manual,First,17.8,1248.0,113.0,5.0,4509.999999999999,Maruti Swift
2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,39237.0,Mini Cooper
2015,70436,Diesel,Manual,First,0.0,1498.0,99.0,5.0,3959.9999999999995,Ford Figo
2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,935.0,Tata Indica
2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3652.0,Chevrolet Beat
2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3959.9999999999995,Volkswagen Polo
2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7480.0,Maruti Swift
2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2750.0,Ford Figo
2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,21604.0,Toyota Innova
2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7700.0,Hyundai Santa
2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,4257.0,Honda City
2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6897.0,Hyundai i20
2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,19932.0,Mercedes-Benz New
2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2915.0,Chevrolet Beat
2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7919.999999999999,Hyundai i20
2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,15729.999999999998,Toyota Innova
2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,7590.0,Maruti Ertiga
2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11825.0,Toyota Innova
2007,72000,Petrol,Manual,Third,17.0,1086.0,113.0,5.0,1045.0,Hyundai Santro
2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8899.0,Honda City
2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,20350.0,BMW X1
2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5225.0,Hyundai Grand
2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9294.999999999998,Maruti Ciaz
2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3850.0,Skoda Rapid
2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,1979.9999999999998,Hyundai Accent
2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,4069.9999999999995,Volkswagen Polo
2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7886.999999999999,Honda Jazz
2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1925.0,Hyundai i10
2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,24189.0,Hyundai Tucson
2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20514.999999999996,Toyota Innova
2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,2034.9999999999998,Maruti Omni
2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,6545.0,Maruti Swift
2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4125.0,Hyundai Grand
2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4125.0,Maruti Swift
2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2860.0,Hyundai Verna
2006,99000,Petrol,Manual,First,0.0,1086.0,113.0,5.0,1925.0,Hyundai Santro
2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,3080.0,Hyundai i20
2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,67419.0,Mercedes-Benz GLE
2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,19800.0,Mercedes-Benz New
2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4784.999999999999,Maruti Ritz
2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,15125.0,Hyundai Creta
2010,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2200.0,Maruti A-Star
2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,11000.0,Renault Duster
2010,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,1815.0,Fiat Grande
2017,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,50347.0,BMW X3
2010,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3575.0,Hyundai i10
2016,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,14080.0,Toyota Innova
2002,60000,Petrol,Manual,Third,17.3,993.0,60.0,5.0,605.0,Maruti Zen
2018,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7864.999999999999,Maruti Swift
2013,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,7700.0,Mahindra Scorpio
2017,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,4125.0,Tata Zest
2017,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,9350.0,Ford EcoSport
2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4784.999999999999,Maruti Swift
2016,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,3586.0,Maruti Alto
2011,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4631.0,Honda City
2018,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,77396.0,Audi Q7
2009,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,3245.0,Skoda Laura
2012,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4708.0,Hyundai Verna
2009,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,3926.9999999999995,Honda City
2013,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3421.0,Hyundai i20
